date;mkt;SMB;HML;RMW;CMA;RF
24/10/1990;0,0006;0;0,0013;0,0001;0,0033;0,0003
25/10/1990;-0,0059;0,008;0,0013;0,0006;0,0046;0,0003
26/10/1990;-0,0156;0,006;0,0012;0,0018;0,0047;0,0003
29/10/1990;-0,0087;0,0005;0,004;0,0014;0,0018;0,0003
30/10/1990;0,0043;-0,0103;-0,0018;0,0027;-0,0005;0,0003
31/10/1990;0,0003;0,0002;0,0014;-0,0008;0,0014;0,0003
1/11/1990;0,008;-0,0078;0;0,0017;0,0017;0,0003
2/11/1990;0,0146;-0,0061;-0,0016;-0,0065;-0,0032;0,0003
5/11/1990;0,0095;-0,0026;-0,0048;0,0005;-0,0095;0,0003
6/11/1990;-0,0064;0,0068;0,0046;-0,0029;-0,0013;0,0003
7/11/1990;-0,0149;0,0104;0,0064;-0,0029;0,003;0,0003
8/11/1990;0,0039;-0,0076;0,0007;0,0004;-0,0009;0,0003
9/11/1990;0,0174;-0,0107;-0,0017;-0,0006;-0,0044;0,0003
12/11/1990;0,0186;-0,0053;-0,0039;0,0025;-0,0131;0,0003
13/11/1990;-0,0027;0,007;-0,0017;-0,0023;-0,0056;0,0003
14/11/1990;0,0079;0,0006;-0,0001;0,0016;-0,0043;0,0003
15/11/1990;-0,0082;0,0069;-0,0001;0,0029;0,0013;0,0003
16/11/1990;-0,0001;0,0001;0,0054;-0,0003;0,0013;0,0003
19/11/1990;0,0056;-0,0025;-0,0039;0,0025;-0,0047;0,0003
20/11/1990;-0,01;0,0078;0,0005;0,0038;0,0017;0,0003
21/11/1990;0,0011;-0,0012;-0,0012;0,002;0,0023;0,0003
22/11/1990;0;-0,0001;-0,0001;0,0002;0;0,0003
23/11/1990;-0,0016;0,0033;-0,0011;0,0006;-0,0002;0,0003
26/11/1990;0,0033;-0,0034;0,0013;-0,0028;0,0033;0,0003
27/11/1990;0,0068;0,0026;-0,0075;-0,0014;-0,0053;0,0003
28/11/1990;0,0005;0,0041;0;-0,003;0;0,0003
29/11/1990;-0,0034;0,0042;-0,0032;0,0004;-0,0033;0,0003
30/11/1990;0,0152;-0,0073;-0,0036;0,0031;-0,0017;0,0003
3/12/1990;0,0067;-0,0018;-0,0009;0,0026;-0,008;0,0003
4/12/1990;0,0075;-0,0034;0,0016;-0,0035;-0,0029;0,0003
5/12/1990;0,0117;0,0031;0,0033;-0,0031;-0,0078;0,0003
6/12/1990;-0,0015;0,0056;0,0013;0,0025;-0,0036;0,0003
7/12/1990;-0,003;0,0041;0,0004;0,0009;0,0038;0,0003
10/12/1990;0,0026;-0,003;0,0006;0,0019;-0,0004;0,0003
11/12/1990;-0,0055;0,0008;-0,0002;0,0004;0,003;0,0003
12/12/1990;0,0091;-0,005;-0,0035;0,0017;-0,0027;0,0003
