Name;Banksus returns
19/07/2002;-0.024698198
22/07/2002;-0.038390294
23/07/2002;-0.067984627
24/07/2002;0.057153516
25/07/2002;0.005149513
26/07/2002;0.020796793
29/07/2002;0.063034646
30/07/2002;0.000177741
31/07/2002;0.017483373
01/08/2002;-0.028024519
02/08/2002;-0.022287044
05/08/2002;-0.039831688
06/08/2002;0.037151966
07/08/2002;0.018505693
08/08/2002;0.048909852
09/08/2002;0.00642243
12/08/2002;-0.008342447
13/08/2002;-0.022618089
14/08/2002;0.035568033
15/08/2002;0.009497177
16/08/2002;-0.008597659
19/08/2002;0.026347815
20/08/2002;-0.017453061
21/08/2002;0.011351693
22/08/2002;0.010454763
23/08/2002;-0.022232051
26/08/2002;0.016173074
27/08/2002;-0.000158072
28/08/2002;-0.020168026
29/08/2002;0.002746469
30/08/2002;0.002931435
02/09/2002;0
03/09/2002;-0.051219433
04/09/2002;0.016956935
05/09/2002;-0.013115216
06/09/2002;0.017338825
09/09/2002;0.009139546
10/09/2002;-0.010951028
11/09/2002;-0.008522295
12/09/2002;-0.032356275
13/09/2002;0.008219824
16/09/2002;0.002870006
17/09/2002;-0.010753529
18/09/2002;-0.020961877
19/09/2002;-0.039161198
20/09/2002;0.001628426
23/09/2002;0.003886512
24/09/2002;-0.022263243
25/09/2002;0.026261685
26/09/2002;0.028097061
27/09/2002;-0.023464365
30/09/2002;0.003181573
01/10/2002;0.037452997
02/10/2002;-0.044505741
03/10/2002;-0.053706304
04/10/2002;-0.027070721
07/10/2002;-0.041545192
08/10/2002;0.040601573
09/10/2002;-0.041083039
10/10/2002;0.051423928
11/10/2002;0.046811516
14/10/2002;0.007301295
15/10/2002;0.066787438
16/10/2002;-0.008322664
17/10/2002;0.023846355
18/10/2002;0.001840988
21/10/2002;0.013077365
22/10/2002;-0.007069007
23/10/2002;0.005679304
24/10/2002;-0.019345319
25/10/2002;0.02468428
28/10/2002;0.000974476
29/10/2002;-0.00783092
30/10/2002;0.013484099
31/10/2002;-0.006527666
01/11/2002;0.020281526
04/11/2002;-0.005075031
05/11/2002;0.006396854
06/11/2002;-0.010961777
07/11/2002;-0.038351196
08/11/2002;-0.0055319
11/11/2002;-0.012306888
12/11/2002;0.015179736
13/11/2002;-0.006168711
14/11/2002;0.027136405
15/11/2002;0.006447065
18/11/2002;-0.019697338
19/11/2002;0.003191017
20/11/2002;0.028559013
21/11/2002;0.024637231
22/11/2002;-0.004561849
25/11/2002;0.000145655
26/11/2002;-0.025270298
27/11/2002;0.030145561
28/11/2002;0
29/11/2002;-0.009465477
02/12/2002;-0.002865355
03/12/2002;-0.014087399
04/12/2002;0.000272792
05/12/2002;-0.017803932
06/12/2002;0.011402689
09/12/2002;-0.020972707
10/12/2002;0.019515933
11/12/2002;-0.001992971
12/12/2002;-0.00327743
13/12/2002;-0.012310622
16/12/2002;0.028492527
17/12/2002;-0.006506064
18/12/2002;-0.01562264
19/12/2002;-0.002952916
20/12/2002;0.023283667
23/12/2002;-0.004840821
24/12/2002;-0.011647345
25/12/2002;0
26/12/2002;-0.000327347
27/12/2002;-0.016983569
30/12/2002;0.008172196
31/12/2002;-0.0015341
01/01/2003;0
02/01/2003;0.030967501
03/01/2003;-0.003600164
06/01/2003;0.030344151
07/01/2003;-0.006683722
08/01/2003;-0.010606891
09/01/2003;0.013857931
10/01/2003;-0.001246056
13/01/2003;-6.43547E-05
14/01/2003;0.01080166
15/01/2003;-0.016117154
16/01/2003;-0.007077262
17/01/2003;-0.001255104
20/01/2003;0
21/01/2003;-0.014788065
22/01/2003;-0.010868135
23/01/2003;0.015170993
24/01/2003;-0.027741725
27/01/2003;-0.013632232
28/01/2003;0.006446857
29/01/2003;0.002931404
30/01/2003;-0.019964482
31/01/2003;0.016042641
03/02/2003;0.002806534
04/02/2003;-0.017903434
05/02/2003;-0.009252791
06/02/2003;-0.005028113
07/02/2003;-0.007842554
10/02/2003;0.006812756
11/02/2003;-0.013877596
12/02/2003;-0.010754916
13/02/2003;0.004799238
